segment,n,blend_lgbm_catboost,anchored_lgbm,hybrid_lgbm_text,xgboost,lightgbm
under $10k,7778,20.79,20.91,20.9,21.29,21.01
$10k-20k,24894,9.26,9.37,9.32,9.39,9.37
$20k-40k,60069,5.48,5.51,5.55,5.55,5.56
over $40k,24519,5.31,5.32,5.29,5.19,5.3
age 0-3y,61224,5.11,5.1,5.11,5.1,5.12
age 4-10y,43673,7.82,7.92,7.92,7.92,7.96
age 11y+,12363,15.92,16.13,16.11,16.33,16.17
150k+ miles,5064,17.17,17.3,17.37,17.82,17.42
private seller,197,19.55,19.79,20.84,18.71,21.0
