model,family,cv_mape_pct,cv_median_ape_pct,cv_r2_log,cv_within_10_pct,holdout_mape_pct,holdout_median_ape_pct,holdout_r2_log,holdout_within_10_pct,conformal_q_log,holdout_coverage_pct,holdout_width_pct_of_price,fit_seconds
hybrid_lgbm_text,hybrid,10.906,7.412,0.931,61.58,10.754,7.335,0.931,62.445,0.165,79.8,33.3,327.9
stack,hybrid,11.156,7.553,0.928,60.803,11.019,7.577,0.928,61.058,0.17,79.7,34.3,858.4
blend_lgbm_catboost,hybrid,11.143,7.592,0.929,60.671,11.081,7.481,0.929,60.57,0.169,79.9,34.0,471.5
xgboost,boosting,11.365,7.652,0.926,60.155,11.19,7.59,0.927,60.622,0.173,79.9,34.8,123.2
lightgbm,boosting,11.399,7.792,0.926,59.383,11.243,7.631,0.926,60.622,0.174,79.6,34.9,101.1
catboost,boosting,11.584,8.024,0.925,58.655,11.582,8.046,0.925,58.181,0.177,80.0,35.5,367.0
embed_mlp,deep tabular,12.194,8.447,0.917,56.69,11.944,8.438,0.92,56.666,0.184,79.9,37.2,41.9
ft_transformer,deep tabular,12.76,9.185,0.91,53.354,12.357,8.897,0.915,54.688,0.197,80.9,39.9,798.8
extra_trees,bagged trees,13.108,8.923,0.904,54.324,12.877,8.543,0.905,55.613,0.199,79.9,39.9,17.3
random_forest,bagged trees,13.733,9.42,0.896,52.176,13.495,9.243,0.898,53.044,0.209,80.1,41.9,22.9
knn_comparables,instance,15.537,11.127,0.873,45.977,15.216,10.788,0.877,47.007,0.239,80.5,47.9,6.6
ridge,linear,18.897,14.071,0.821,37.307,18.935,14.178,0.817,37.683,0.289,80.1,58.7,5.5
elasticnet,linear,19.319,14.276,0.813,36.802,19.418,14.433,0.807,36.501,0.296,79.8,60.2,6.6
